Iteration,Fragmentation_Index
0,0.000000
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.357143
17,0.538462
18,0.619048
19,0.677419
20,0.720930
21,0.761062
22,0.769231
23,0.785714
24,0.630435
25,0.461039
26,0.293103
27,0.136364
28,0.000000
29,0.000000
30,0.000000
31,0.000000
32,0.000000
33,0.000000
34,0.000000
35,0.000000
36,0.000000
37,0.000000
38,0.000000
39,0.000000
40,0.000000
41,0.000000
42,0.450000
43,0.450000
44,0.450000
45,0.576923
46,0.151899
47,0.151899
48,0.151899
49,0.361905
50,0.319328
51,0.319328
52,0.319328
53,0.433566
54,0.433566
55,0.484076
56,0.484076
57,0.484076
58,0.484076
59,0.484076
60,0.484076
61,0.484076
62,0.484076
63,0.484076
64,0.484076
65,0.484076
66,0.484076
67,0.523529
68,0.478495
69,0.360190
70,0.360190
71,0.360190
72,0.360190
73,0.425532
74,0.425532
75,0.425532
76,0.425532
77,0.425532
78,0.425532
79,0.000000
